ulica	numer_klatki	numer_mieszkania	metraz	ilosc_osob
Bacciarellego	1	3	64	1
Bacciarellego	1	5	34	4
Bacciarellego	1	6	89	5
Bacciarellego	2	1	98	3
Bacciarellego	2	3	76	3
Bacciarellego	2	5	54	4
Bacciarellego	3	6	75	5
Bacciarellego	4	2	28	5
Bacciarellego	4	3	29	3
Bacciarellego	5	2	75	5
Bacciarellego	5	4	75	3
Bacciarellego	5	6	89	5
Bacciarellego	5	8	64	5
Bacciarellego	7	2	54	2
Bacciarellego	7	5	76	1
Bacciarellego	8	2	98	3
Bacciarellego	8	3	76	5
Cieszkowskiego	32	1	54	3
Cieszkowskiego	32	2	32	5
Cieszkowskiego	32	5	43	4
Cieszkowskiego	34	4	49	4
Cieszkowskiego	34	9	60	3
Cieszkowskiego	34	10	58	2
Cieszkowskiego	34	12	46	4
Cieszkowskiego	36	2	76	2
Cieszkowskiego	36	7	77	4
Cieszkowskiego	34	6	61	2
Gorny	12	3	59	2
Gorny	12	4	48	5
Gorny	12	5	56	1
Gorny	12	7	45	5
Gorny	14	1	29	4
Gorny	14	3	34	2
Gorny	14	4	56	5
Gorny	14	5	38	4
Gorny	16	3	98	3
Gorny	16	5	78	4
Gorny	16	6	76	4
Grabskiego	3	2	45	2
Grabskiego	3	3	54	5
Grabskiego	3	4	29	4
Grabskiego	3	5	65	5
J.Bronka	1	2	68,5	3
J.Bronka	1	3	54	3
J.Bronka	1	4	64,5	2
J.Bronka	1	6	29,5	5
J.Bronka	3	1	48	3
J.Bronka	3	2	56	1
J.Bronka	3	5	54	4
J.Bronka	3	6	78	4
J.Bronka	5	1	98	3
J.Bronka	5	3	65	1
J.Bronka	5	4	45	5
J.Bronka	5	5	48	1
J.Bronka	5	6	49	5
Kamienskiego	3	2	65	4
Kamienskiego	3	4	54	5
Kamienskiego	3	5	32	3
Kamienskiego	3	6	38	5
Kocha	4	1	59	2
Kocha	4	4	57	4
Kocha	4	5	61	3
Kocha	4	6	64	5
Kopernika	3	1	89	5
Kopernika	3	3	58	4
Kopernika	3	4	78	5
Kopernika	3	6	76	1
Kosciuszki	5	1	54	4
Kosciuszki	5	2	28	5
Kosciuszki	5	4	35	1
Kosciuszki	5	5	48	2
Kosciuszki	5	6	40	1
Kosciuszki	5	7	54,5	4
Kosciuszki	7	2	87	4
Kosciuszki	7	3	55	3
Kosciuszki	7	5	68	5
Kosciuszki	7	6	59	2
Kosciuszki	9	3	38	1
Kosciuszki	9	4	42	3
Kosciuszki	9	7	45	4
Kosciuszki	9	8	52	1
Kosciuszki	11	1	59	2
Kosciuszki	11	2	56	2
Kosciuszki	11	3	36	4
Kosciuszki	11	5	59	2
Kosciuszki	11	6	58	3
Kosciuszki	13	2	74	4
Kosciuszki	13	3	51	1
Kosciuszki	13	4	45	5
Kosciuszki	13	7	54	1
Kosciuszki	13	8	65	5
Kosciuszki	15	2	98	4
Kosciuszki	15	4	162	3
Kosciuszki	15	6	75	4
Piaskowa	1	2	65	2
Piaskowa	1	4	42	5
Piaskowa	1	5	48	1
Piaskowa	2	1	52	2
Piaskowa	2	4	47	1
Piaskowa	2	5	35	1
Piaskowa	3	4	61	4
Piaskowa	3	6	49	4
Piaskowa	4	1	54	2
Piaskowa	4	2	87	4
Piaskowa	4	5	45	3
Piaskowa	4	6	65	4
Piaskowa	5	1	87	1
Piaskowa	5	3	38	3
Piaskowa	5	4	60	1
Piaskowa	7	2	54	4
Piaskowa	7	6	50	4
Rejtana	10	2	48	3
Rejtana	10	4	39	4
Rejtana	12	1	61	4
Rejtana	12	2	29	3
Rejtana	12	3	38	1
Rejtana	12	5	29	4
Rejtana	15	3	54	1
Rejtana	15	5	46	2
Rejtana	24	2	54	3
Rejtana	24	2	50	5
Rejtana	24	3	30	2
Rejtana	24	7	38	3
Rejtana	27	1	42	1
Rejtana	27	3	29	5
Rejtana	27	5	44	3
Rejtana	15	4	72	3
Komandorska	13	8	95	1
Krakowska	2	1	71	2
Krakowska	2	2	123	2
Krakowska	2	3	113	4
Krakowska	2	4	57	2
Krakowska	2	5	68	4
Krakowska	2	6	49	4
Krakowska	2	7	104	4
Krakowska	2	8	35	4
Krakowska	4	1	129	4
Krakowska	4	2	65	5
Krakowska	4	3	80	5
Krakowska	4	4	90	1
Krakowska	4	5	49	3
Krakowska	4	6	65	3
Krakowska	4	7	40	3
Krakowska	4	8	33	3
Krakowska	6	1	61	4
Krakowska	6	2	67	2
Krakowska	6	3	117	1
Krakowska	6	4	53	1
Krakowska	6	5	82	2
Krakowska	6	6	91	2
Krakowska	6	7	105	5
Krakowska	6	8	109	2
Krakowska	8	1	72	5
Krakowska	8	2	58	2
Krakowska	8	3	46	1
Krakowska	8	4	57	5
Krakowska	8	5	117	5
Krakowska	8	6	40	5
Krakowska	8	7	66	4
Krakowska	8	8	73	4
Krakowska	1	1	122	5
Krakowska	1	2	38	3
Krakowska	1	3	105	5
Krakowska	1	4	38	5
Krakowska	1	5	105	2
Krakowska	1	6	40	1
Krakowska	1	7	67	1
Krakowska	1	8	114	4
Krakowska	3	1	104	1
Krakowska	3	2	41	3
Krakowska	3	3	120	5
Krakowska	3	4	37	2
Krakowska	3	5	81	1
Krakowska	3	6	94	5
Krakowska	3	7	68,5	2
Krakowska	3	8	92	3
Wodna	1	1	45,5	2
Wodna	1	2	64	1
Wodna	1	3	49	3
Wodna	1	4	87	3
Wodna	1	5	104	3
Wodna	1	6	82	4
Wodna	1	7	85	4
Wodna	1	8	89,5	3
Wodna	2	1	69,5	4
Wodna	2	2	42	3
Wodna	2	3	69	5
Wodna	2	4	69,5	1
Wodna	2	5	42	5
Wodna	2	6	69	4
Wodna	2	7	91	3
Wodna	2	8	91	2
Wodna	3	1	69,5	2
Wodna	3	2	42	4
Wodna	3	3	69	2
Wodna	3	4	69,5	2
Wodna	3	5	42	5
Wodna	3	6	69	2
Wodna	3	7	91	4
Wodna	3	8	91	5
Wodna	3	1	69,5	2
Wodna	3	2	42	2
Wodna	3	3	69	2
Wodna	3	4	69,5	4
Wodna	3	5	42	5
Wodna	3	6	69	1
Wodna	3	7	91	4
Wodna	3	8	91	4
Rejtana	6	7	111	3
Rejtana	6	4	70	3
Rejtana	6	1	56	5
Rajska	1	1	103	2
Rajska	1	2	77	2
Rajska	1	3	103	4
Rajska	1	4	77	1
Rajska	1	5	103	4
Rajska	1	6	77	2
Rajska	1	7	103	5
Rajska	1	8	77	2
Rajska	1	9	103	5
Rajska	1	10	77	4
Rajska	3	1	69	5
Rajska	3	2	36	5
Rajska	3	3	89	2
Rajska	3	4	69	1
Rajska	3	5	36	1
Rajska	3	6	89	5
Rajska	3	7	69	3
Rajska	3	8	36	5
Rajska	3	9	89	3
Rajska	3	10	152	2
Rajska	4	1	69	3
Rajska	4	2	36	2
Rajska	4	3	89	2
Rajska	4	4	69	5
Rajska	4	5	36	3
Rajska	4	6	89	2
Rajska	4	7	69	2
Rajska	4	8	36	5
Rajska	4	9	89	1
Rajska	4	10	152	5
Rajska	6	1	69	5
Rajska	6	2	36	3
Rajska	6	3	89	1
Rajska	6	4	69	2
Rajska	6	5	36	1
Rajska	6	6	89	4
Rajska	6	7	69	4
Rajska	6	8	36	3
Rajska	6	9	89	3
Rajska	6	10	152	1
Rajska	8	1	69	4
Rajska	8	2	36	1
Rajska	8	3	89	3
Rajska	8	4	69	1
Rajska	8	5	36	1
Rajska	8	6	89	4
Rajska	8	7	69	5
Rajska	8	8	36	3
Rajska	8	9	89	2
Rajska	8	10	152	1
